Time,Value,DC
1443532680,35101.59167,I
1443533040,36350.43056,I
1443533400,37109.26944,I
1443533760,35560.89722,I
1443534120,37659.96667,I
1443534480,-238156.0083,I
1443534840,36644.55833,I
1443535200,35913.14537,I
1443535560,38327.06736,I
1443535920,39512.69167,I
1443536280,40598.49722,I
1443536640,-1136099.312,I
1443537000,52500.11944,I
1443537360,51650.84444,I
1443537720,49264.91431,I
1443538080,52577.11667,I
1443538440,52928.97222,I
1443538800,52655.20556,I
1443539160,51090.82222,I
1443539520,52577.97778,I
1443539880,54973.96667,I
1443540240,52283.68889,I
1443540600,53910.325,I
1443540960,53117.14444,I
1443541320,54781.41389,I
1443405960,6290.417373,S
1443406020,11920.50397,S
1443406320,11951.69238,S
1443406380,12379.50944,S
1443406680,13063.17667,S
1443406740,13099.33222,S
1443407040,13279.54667,S
1443407100,13296.38,S
1443407400,13027.155,S
1443407460,13036.19111,S
1443407760,13141.42889,S
1443407820,12943.91191,S
1443408120,12958.45079,S
1443408180,12987.14206,S
1443408480,12897.37389,S
1443408540,12978.35722,S
1443408840,13038.29611,S
1443408900,12347.98651,S
1443409200,11875.33929,S
1443409260,12264.75278,S
1443409560,13001.79833,S
1443409920,13027,S
1443409980,12735.92857,S
1443410280,12516.81191,S
1443410340,11831.49167,S
1443410640,12745.36564,S
1443410700,12607.77,S
1443411000,11676.36833,S
1443411060,11714.95167,S
1443411360,11358.38944,S
1443411720,11134.95889,S
1443411780,11016.62897,S
1443412080,11232.53087,S
1443412140,11248.95667,S
1443412440,10874.86222,S
1443412500,10840.17937,S
1443412800,10941.89603,S
1443412860,10433.36667,S
1443413160,9959.694048,S
1443413220,9856.666667,S
1443413520,10211.88,S
1443413580,10152.64389,S
1443413880,10603.71889,S
1443413940,10387.59921,S
1443414240,9830.024207,S
1443414300,9815.251191,S
1443414600,9812.845556,S
1443414660,9768.823334,S
1443414960,9105.448334,S
1443415020,9092.846032,S
1443415320,8769.725,S
1443415380,8722.033334,S
1443415680,8456.347778,S
1443415740,8354.816667,S
1443416040,7620.737223,S
1443416400,6843.981667,S
1443416460,6804.455953,S
1443416760,6788.294365,S
1443416820,6786.417778,S
1443417120,6789.712223,S
1443417180,6463.687302,S
1443417480,6265.647143,S
1443417540,6287.159445,S
1443417840,6648.323334,S
1443417900,6220.227381,S
1443418200,6375.182778,S
1443418260,6373.921667,S
1443418560,5506.443889,S
1443418920,5505.416111,S
1443418980,5302.614286,S
1443419280,5114.461111,S
1443419640,4734.169445,S
1443420000,4315.394445,S
1443420060,4312.027381,S
1443420360,4587.688492,S
1443420420,4493.052778,S
1443420720,4221.797223,S
1443420780,4280.589683,S
1443421080,4320.428572,S
1443421140,4264.927778,S
